## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr6	111620234	111804918	REV3L	Rev3l	"cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;tumorigenesis"
chr17	33333009	33416338	RFFL	Rffl	"normal"
chr9	79000433	79009433	RFK	Rfk	"homeostasis/metabolism;immune system;mortality/aging"
chr17	80005778	80009707	RFNG	Rfng	"craniofacial;digestive/alimentary;embryogenesis;limbs/digits/tail;mortality/aging;normal;skeleton"
chr3	16355081	16555533	RFTN1	Rftn1	"hematopoietic system;immune system"
chr19	14072350	14117851	RFX1	Rfx1	"mortality/aging"
chr9	3218297	3526004	RFX3	Rfx3	"cardiovascular system;embryogenesis;growth/size;mortality/aging;normal"
chr12	106976685	107156581	RFX4	Rfx4	"cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;nervous system"
chr1	151313116	151319833	RFX5	Rfx5	"cardiovascular system;hematopoietic system;immune system;liver/biliary system"
chr6	117198375	117253326	RFX6	Rfx6	"behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;mortality/aging"
chr15	93586636	93632433	RGMA	Rgma	"craniofacial;embryogenesis;mortality/aging;nervous system;skeleton"
chr5	98104354	98134347	RGMB	Rgmb	"mortality/aging"
chrX	46937775	46952712	RGN	Rgn	"liver/biliary system"
chr10	86004809	86019716	RGR	Rgr	"vision/eye"
chr1	192544857	192549161	RGS1	Rgs1	"hematopoietic system;immune system"
chr10	121259340	121302220	RGS10	Rgs10	"growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;skeleton"
chr16	318300	325980	RGS11	Rgs11	"vision/eye"
chr1	192605275	192629390	RGS13	Rgs13	"immune system"
chr5	176784838	176799602	RGS14	Rgs14	"behavior/neurological;cardiovascular system;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;reproductive system;skeleton;vision/eye"
chr1	192778169	192781403	RGS2	Rgs2	"behavior/neurological;cardiovascular system;hematopoietic system;immune system;nervous system;no phenotypic analysis;normal;renal/urinary system"
chr1	163038565	163046592	RGS4	Rgs4	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;integument;mortality/aging;nervous system;no phenotypic analysis;normal"
chr1	163080911	163291577	RGS5	Rgs5	"adipose tissue;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;no phenotypic analysis;normal;tumorigenesis"
chr1	240931554	241520530	RGS7	Rgs7	"behavior/neurological;homeostasis/metabolism;vision/eye"
chr5	63802084	63908139	RGS7BP	Rgs7bp	"behavior/neurological;nervous system;normal"
chr17	63133549	63223821	RGS9	Rgs9	"behavior/neurological;nervous system;vision/eye"
chr19	33166313	33169206	RGS9BP	Rgs9bp	"vision/eye"
chr1	156339003	156355011	RHBG	Rhbg	"normal"
chr15	89998680	90039844	RHCG	Rhcg	"growth/size;homeostasis/metabolism;no phenotypic analysis;renal/urinary system;reproductive system"
chr7	151163098	151217206	RHEB	Rheb	"growth/size;immune system;mortality/aging;nervous system"
chr12	49458468	49463808	RHEBL1	Rhebl1	"mortality/aging;no phenotypic analysis;normal"
chr3	129247483	129254012	RHO	Rho	"cardiovascular system;homeostasis/metabolism;nervous system;no phenotypic analysis;pigmentation;vision/eye"
chr2	20646835	20649200	RHOB	Rhob	"cardiovascular system;cellular;growth/size;homeostasis/metabolism;tumorigenesis;vision/eye"
chr1	113243728	113250056	RHOC	Rhoc	"cellular;immune system;tumorigenesis"
chr11	3848208	3862213	RHOG	Rhog	"hematopoietic system;immune system;nervous system"
chr4	40192673	40248587	RHOH	Rhoh	"hematopoietic system;immune system"
chr19	33469499	33555794	RHPN2	Rhpn2	"normal"
chr11	207511	215113	RIC8A	Ric8	"behavior/neurological;mortality/aging"
chr5	38938021	39074510	RICTOR	Rictor	"adipose tissue;cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;renal/urinary system;reproductive system;skeleton;tumorigenesis"
chr2	152266397	152364527	RIF1	Rif1	"cellular;growth/size;mortality/aging;reproductive system"
chr22	21899646	21905750	RIMBP3C	Rimbp3	"reproductive system"
chr6	72596406	73112845	RIMS1	Rims1	"behavior/neurological;homeostasis/metabolism;mortality/aging;nervous system;normal;skeleton"
chr8	104512976	105268322	RIMS2	Rims2	"behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;normal;skeleton"
chr11	66097713	66104311	RIN1	Rin1	"behavior/neurological;nervous system"
chr6	33176272	33180499	RING1	Ring1	"skeleton"
chr7	105172532	105208124	RINT1	Rint1	"embryogenesis;integument;mortality/aging;tumorigenesis"
chr6	3064225	3115421	RIPK1	Ripk1	"adipose tissue;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging"
chr8	90769975	90803291	RIPK2	Ripk2	"hematopoietic system;immune system"
chr14	24805227	24809251	RIPK3	Ripk3	"cellular;endocrine/exocrine gland;immune system"
chr21	43159529	43187266	RIPK4	Ripk4	"craniofacial;digestive/alimentary;hematopoietic system;immune system;integument;limbs/digits/tail;mortality/aging;respiratory system"
chrX	106143293	106146565	RIPPLY1	Ripply1	"embryogenesis;no phenotypic analysis;skeleton"
chr6	84562985	84567234	RIPPLY2	Ripply2	"embryogenesis;growth/size;limbs/digits/tail;mortality/aging;muscle;respiratory system;skeleton"
chr15	89753100	89764982	RLBP1	Rlbp1	"integument;nervous system;pigmentation;vision/eye"
chrX	73805052	73834452	RLIM	Rlim	"cellular;embryogenesis;mortality/aging;normal;reproductive system"
chr9	5334969	5339873	RLN1	Rln1	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;reproductive system;skeleton"
chr2	3592383	3606206	RNASEH1	Rnaseh1	"cellular;embryogenesis;growth/size;mortality/aging"
chr1	182542769	182558391	RNASEL	Rnasel	"hematopoietic system;immune system"
chr2	86830516	86850989	RNF103	Rnf103	"behavior/neurological;hearing/vestibular/ear;nervous system"
chr15	59157374	59389618	RNF111	Rnf111	"embryogenesis;mortality/aging;nervous system"
chrX	105937024	106040223	RNF128	Rnf128	"hematopoietic system;homeostasis/metabolism;immune system;nervous system;respiratory system"
chr13	25338290	25454059	RNF17	Rnf17	"endocrine/exocrine gland;reproductive system"
chr1	33402046	33430286	RNF19B	Rnf19b	"immune system;tumorigenesis"
chr1	185014496	185071740	RNF2	Rnf2	"behavior/neurological;embryogenesis;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;skeleton;tumorigenesis"
chr4	2463947	2627047	RNF4	Rnf4	"cardiovascular system;cellular;mortality/aging"
chr6	32146131	32151930	RNF5	Rnf5	"muscle"
chr3	141457046	141466402	RNF7	Rnf7	"cellular"
chr6	37321748	37362514	RNF8	Rnf8	"cellular;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;integument;mortality/aging;no phenotypic analysis;reproductive system;tumorigenesis"
chr3	78646390	79816965	ROBO1	Robo1	"behavior/neurological;mortality/aging;nervous system;respiratory system;tumorigenesis"
chr3	75955846	77699115	ROBO2	Robo2	"mortality/aging;nervous system;normal;renal/urinary system;reproductive system"
chr11	124735282	124751366	ROBO3	Robo3	"behavior/neurological;embryogenesis;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;respiratory system"
chr11	124753587	124768396	ROBO4	Robo4	"cardiovascular system;cellular;homeostasis/metabolism;integument;no phenotypic analysis"
chr18	18526867	18691812	ROCK1	Rock1	"cardiovascular system;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;respiratory system;vision/eye"
chr2	11319887	11488456	ROCK2	Rock2	"cardiovascular system;embryogenesis;growth/size;mortality/aging"
chr11	62379194	62382592	ROM1	Rom1	"cardiovascular system;nervous system;vision/eye"
chr1	64239693	64647181	ROR1	Ror1	"cardiovascular system;homeostasis/metabolism;limbs/digits/tail;mortality/aging;respiratory system;skeleton"
chr9	94325373	94712444	ROR2	Ror2	"adipose tissue;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;reproductive system;respiratory system;skeleton;vision/eye"
chr15	60780483	61521518	RORA	Rora	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;reproductive system;respiratory system;taste/olfaction"
chr9	77112281	77308093	RORB	Rorb	"behavior/neurological;growth/size;nervous system;reproductive system;vision/eye"
chr1	151778547	151804348	RORC	Rorc	"digestive/alimentary;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr6	117609463	117747018	ROS1	Ros1	"reproductive system"
chr8	55528627	55543394	RP1	Rp1	"cardiovascular system;nervous system;vision/eye"
chr8	10463859	10569697	RP1L1	Rp1l1	"nervous system;vision/eye"
chr17	1732996	1803376	RPA1	Rpa1	"cellular;hematopoietic system;immune system;mortality/aging;tumorigenesis"
chr1	68894505	68915642	RPE65	Rpe65	"homeostasis/metabolism;nervous system;pigmentation;vision/eye"
chrX	38128416	38186817	RPGR	Rpgr	"nervous system;vision/eye"
chr14	21756098	21819460	RPGRIP1	Rpgrip1	"nervous system;vision/eye"
chr16	53631595	53737850	RPGRIP1L	Rpgrip1l	"cardiovascular system;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system;renal/urinary system;respiratory system;skeleton;vision/eye"
chr12	113008184	113336686	RPH3A	Rph3a	"normal"
chr17	62293	236045	RPH3AL	Rph3al	"digestive/alimentary;endocrine/exocrine gland;homeostasis/metabolism"
chr19	49990811	49995565	RPL13A	Rpl13a	"no phenotypic analysis"
chr1	6241329	6269449	RPL22	Rpl22	"hematopoietic system;immune system;normal;renal/urinary system"
chr3	101399935	101405626	RPL24	Rpl24	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;pigmentation;skeleton;tumorigenesis;vision/eye"
chr3	52027616	52029958	RPL29	Rpl29	"cellular;embryogenesis;growth/size;mortality/aging;reproductive system;skeleton"
chr17	72199721	72206794	RPL38	Rpl38	"cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;pigmentation;reproductive system;respiratory system;skeleton;tumorigenesis"
chr6	33239787	33244287	RPS18	Rps18	"normal"
chr19	42363988	42376994	RPS19	Rps19	"hematopoietic system;integument;limbs/digits/tail;mortality/aging;pigmentation"
chr8	56979854	56987069	RPS20	Rps20	"integument;limbs/digits/tail;mortality/aging;pigmentation"
chr19	8386042	8388224	RPS28	Rps28	"normal"
chr9	19375713	19380252	RPS6	Rps6	"cellular;endocrine/exocrine gland;homeostasis/metabolism;liver/biliary system"
chrX	20168029	20285523	RPS6KA3	Rps6ka3	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;muscle;nervous system;no phenotypic analysis;renal/urinary system;reproductive system;respiratory system;skeleton;taste/olfaction;vision/eye"
chr11	64126620	64139687	RPS6KA4	Rps6ka4	"hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;no phenotypic analysis"
chr14	91336799	91526980	RPS6KA5	Rps6ka5	"behavior/neurological;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging"
chrX	83318984	83442933	RPS6KA6	Rps6ka6	"cardiovascular system;craniofacial;embryogenesis"
chr17	57970447	58027925	RPS6KB1	Rps6kb1	"cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;muscle;reproductive system"
chr11	67195931	67202872	RPS6KB2	Rps6kb2	"cardiovascular system;cellular;growth/size;homeostasis/metabolism;mortality/aging;muscle;normal;reproductive system"
chr3	39448180	39454033	RPSA	Rpsa	"cardiovascular system;craniofacial;endocrine/exocrine gland;growth/size;hematopoietic system;mortality/aging"
chr17	78518619	78940171	RPTOR	Rptor	"adipose tissue;behavior/neurological;cellular;digestive/alimentary;embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;reproductive system;skeleton"
chr16	66955582	66959547	RRAD	Rrad	"cardiovascular system;muscle"
chr19	50138549	50143458	RRAS	Rras	"cardiovascular system;homeostasis/metabolism"
chr11	14299472	14386052	RRAS2	Rras2	"hematopoietic system;immune system;mortality/aging"
chr8	103216730	103251346	RRM2B	Rrm2b	"cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;renal/urinary system"
chr16	15153879	15188174	RRN3	Rrn3	"cellular;embryogenesis;growth/size;mortality/aging;nervous system"
chrX	18658030	18690229	RS1	Rs1	"nervous system;pigmentation;vision/eye"
chr2	7005937	7038370	RSAD2	Rsad2	"hematopoietic system;immune system"
chr1	15986364	15988217	RSC1A1	Rsc1a1	"adipose tissue;behavior/neurological;digestive/alimentary;growth/size;homeostasis/metabolism"
chr21	43892596	43916464	RSPH1	Rsph1	"growth/size;homeostasis/metabolism;reproductive system"
chr1	38076951	38100595	RSPO1	Rspo1	"endocrine/exocrine gland;mortality/aging;reproductive system"
chr8	108911544	109095913	RSPO2	Rspo2	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;homeostasis/metabolism;integument;limbs/digits/tail;mortality/aging;renal/urinary system;reproductive system;respiratory system;skeleton"
chr6	127439749	127518910	RSPO3	Rspo3	"embryogenesis;growth/size;mortality/aging"
chr20	62289163	62328416	RTEL1	Rtel1	"cardiovascular system;cellular;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;normal"
chr14	101346992	101351184	RTL1	Rtl1	"embryogenesis;growth/size;mortality/aging;other"
chr19	45988547	46000319	RTN2	Rtn2	"homeostasis/metabolism;muscle"
chr2	55199325	55339757	RTN4	Rtn4	"mortality/aging;nervous system;normal"
chr22	20228938	20270769	RTN4R	Rtn4r	"behavior/neurological;homeostasis/metabolism;nervous system;no phenotypic analysis"
chr17	1837971	1928639	RTN4RL1	Rtn4rl1	"endocrine/exocrine gland;liver/biliary system"
chr11	57228022	57245007	RTN4RL2	Rtn4rl2	"nervous system;no phenotypic analysis;normal"
chr18	67671029	67873181	RTTN	Rttn	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;nervous system"
chr21	36160098	37376965	RUNX1	Runx1	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;normal;respiratory system;skeleton;tumorigenesis"
chr8	92967203	93115514	RUNX1T1	Runx1t1	"behavior/neurological;cardiovascular system;digestive/alimentary;growth/size;integument;mortality/aging;normal;reproductive system"
chr6	45295894	45632086	RUNX2	Runx2	"cardiovascular system;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;respiratory system;skeleton;vision/eye"
chr1	25226002	25291612	RUNX3	Runx3	"adipose tissue;behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;respiratory system;skeleton"
chr4	159236463	159574524	RXFP1	Rxfp1	"endocrine/exocrine gland;hematopoietic system;integument;reproductive system;respiratory system"
chr13	32313674	32377009	RXFP2	Rxfp2	"endocrine/exocrine gland;integument;reproductive system;respiratory system"
chr9	137208944	137332431	RXRA	Rxra	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
